,Job Title,Company,Keywords,Concepts,Technical Skills,Soft Skills,Coding Skills
0,Senior Software Engineer,Rapid7,"['software engineer job', 'job pluses knowledge', 'kernel-level programming', 'agile software development', 'incident response operations', 'scrum security domain', 'feature development drive', 'network applications knowledge', 'functionality job qualifications', 'dependent life insurance', 'high level stakeholders', 'full-time required experience', 'additional insurance coverage', 'kernel driver development.', 'permanent position. job', 'english language communication', 'little supervision minimum', 'term disability coverage', 'salary. performance bonus', 'revision control systems', 'short term disability', 'assistance available benefits', 'engineering teams', 'scrum team', 'cross-functional teams', 'test software', 'pardee ave', 'administration experience', 'ruby experience', 'strong knowledge', 'ad&d insurance', 'scale computer forensics', 'dental insurance', 'electrical engineering', 'kernel drivers', 'verbal bachelor', 'product owners', 'data collection', 'new features', 'technology needs', 'compliance standards', 'configuration management', 'macos', 'requirements', 'windows', 'linux', 'toronto', 'expertise', 'iterations', 'iteration', 'git', 'commitments', 'canada', 'mastery', 'release', 'suite', 'm6k', 'architects', 'delivery', 'goal', 'design', 'responsibilities', 'skills', 'degree', 'science', 'field.', 'perl', 'practices', 'base', 'health']","['Software engineering', 'Agile software development', 'Revision control', 'Electrical engineering', 'Requirements analysis', 'Computer', 'Engineering', 'Lean software development', 'Scrum', 'Concurrent Versions System', 'Term', 'Microprocessor', 'Linux', 'Git', 'Electronic engineering', 'Agile Manifesto', 'Operating system', 'Iterative and incremental development', 'Software project management', 'Academic degree', 'Programming language', 'Extreme Programming', 'Waterfall model', ""Master's degree"", ""Bachelor's degree"", 'Computer program', 'Computer science', 'Systems Development Life Cycle', 'User story', 'Embedded system', 'Communication', 'Comparison of revision control software', 'Electronics', 'Institute of Electrical and Electronics Engineers', 'Linux kernel', 'Insurance', 'Computer programming', 'Computer engineering', 'Artificial intelligence', 'Python', 'Iteration', 'Distributed revision control', 'Forensic science']","['programming', 'programming']","['team', 'verbal']",['python']
1,"Senior Director, Data Science",Loblaw Digital,"['data science', 'innovative work environment', 'data science team', 'data visualization experience', 'data science capabilities', 'large-scale data sets.', 'related big data', 'unstructured data sets', 'online shopping experience', 'loblaw digital', 'data scientists', 'undeniable enthusiasm', 'online grocery shopping', 'various internal teams', 'empower business users', 'bi developers', 'creative problem solver', 'long-term ai strategy', 'big ideas', 'diverse group', 'regular loblaw', 'today. employment type', 'employee self service', 'great people', 'data mining', 'data warehousing', 'experience working', 'relevant experience', 'equivalent work', 'machine learning', 'bi efforts', 'data-driven solutions', 'retail business', 'senior director', 'productive working', 'production systems.', 'day-to-day management', 'customer segmentation', 'ai/ml strategy', 'functional businesses', 'supply chain', 'ecommerce experiences', 'apparel spaces', 'masters degree/phd', 'customer engagement', 'similar field', 'multiple sources', 'workday application', 'deep knowledge', 'inventory forecasting', 'technology teams', 'recommendation systems', 'empirical research', 'recruit top talent', 'present findings', 'appropriate level', 'quantitative discipline', 'strong knowledge', 'communication skills', 'strong passion', 'time type', 'organization. accommodation', 'assessment process', 'national pride', 'hired. please note', 'hive', 'colleagues', 'engineers', 'hbase', 'good.', 'love', 'future', 'ecommerce.', 'statistics', 'job', 'challenge', 'microstrategy', 'tableau', 'customers', 'lives', 'country', 'challenge.', 'office', 'beauty', 'started.', 'individual', 'results', 'engineering', 'vision', 'trading', 'marketing', 'operations', 'problems', 'development', 'implementation', 'map/reduce', 'sqoop', 'engineering/science', 'math']","['Hadoop', 'Data mining', 'Data analysis', 'Online shopping', 'Business intelligence', 'Retailing', 'Data management', 'Employment', 'Science', 'Learning', 'MapReduce', 'Knowledge', 'Electronic commerce', 'Innovation', 'Data', 'Empiricism', 'Data warehouse', 'Design']","['statistics', 'machine learning', 'big data', 'structured', 'unstructured', 'machine learning', 'machine learning', 'statistics', 'data visualization', 'machine learning']","['creative', 'team', 'creative', 'passion', 'creative', 'team', 'team']","['hadoop', 'mapreduce', 'hive', 'hbase', 'hadoop', 'hive', 'hbase', 'spark']"
2,Business Intelligence Developer,Lakeside Process Controls Ltd.,"['business intelligence developer', 'document business requirements', 'ifs technical developer', 'bi software products', 'develop business process', 'business intelligence cube', 'technical documentation work', 'product-centric data mining', 'lakeside process controls', 'programming sql skills', 'business users', 'bi report development', 'technical design documents', 'bi developer', 'class standard reports', 'experience managing projects', 'application development', 'needed. primary responsibilities', 'business data', 'internal relations participate', 'full-time required experience', 'application changes', 'advanced ms- sql', 'high quality unit', 'project management skills', 'standardized programming/data presentation', 'server reporting services', 'development program opportunity', 'advanced ms office', 'engineering background experience', 'exceptional interpersonal skills', 'paramedical health coverage', 'statistical programming languages', 'advanced oracle pl/sql', 'business problems', 'employee assistance program', 'industrial engineering education', 'job overview employment', 'business requirements.', 'competitive compensation package', 'care spending account', 'business analysts', 'effective solutions. position', 'related field', 'flexible benefit package', 'transfer knowledge', 'ifs migrations', 'ifs apps', 'business units', 'data analysis', 'bi models', 'data structures', 'data warehouses.', 'custom software', 'new reports', 'major process', 'process skills', 'custom events.', 'software applications', 'technical decisions', 'experience analyzing', 'peer development', 'development guidance', 'technology industry', 'management design', 'data visualizations', 'support tactics', 'etl developer', 'problem analysis', 'new ways', 'financial products', 'technology infrastructure', 'multiple projects', 'relationship management', 'custom codes', 'analytical framework', 'qa testing', 'technology enhancement', 'team member', 'support teams', 'project managers', 'strategy meetings', 'custom events', 'in-house applications', 'process automation', 'best practices', 'problem-solving skills', 'generate reports', 'sql server', 'training variety', 'technology teams', 'super user', 'main ownership', 'family support', 'decision making', 'programmer/analyst · expert', 'web applications', 'implementation methodologies', 'operational processes', 'realistic timeline']","['Microsoft SQL Server', 'SQL Server Reporting Services', 'Business intelligence', 'Business process modeling', 'Data analysis', 'Problem solving', 'Data warehouse', 'Microsoft', 'Microsoft Visual Studio', 'SQL', 'Process management', 'Management', 'Business process', 'Stored procedure', 'Requirement', 'Data mining', 'Transact-SQL', '.NET Framework', 'Data', 'Business']","['statistics', 'structured', 'programming', 'programming', 'programming']","['team', 'team', 'interpersonal']","['sql', 'sql', 'sql', 'sql', 'python']"
3,Data Engineer,Telus Digital,"['telus digital', 'data development practice', 'telus customers.', 'telus digital.', 'centric digital experiences', 'passionate data engineer', 'development practice design', 'javascript based tools', 'analytics pipeline assist', '1-year contract position.', 'documentation best practices', 'impromptu hallway soccer', 'apps basic understanding', 'rapidly test solutions', 'mainly dynamic tag', 'small scale ml', 'team members', 'communities weekly lunches', 'ideas flexible work', 'central downtown location', 'casual dress code', 'fair employment practices', 'development team', 'product-driven team', 'app. our team', 'digital properties.', 'dynamic team', 'social team', 'digital evolution.', 'digital’s mission', 'digital thrive', 'digital experts.', 'agile environment', 'central design', 'analytics layer', 'restful apis', 'javascript toolchain.', 'customer trust', 'unending supply', 'new skills', 'passionate group', 'best measure', 'qualifications experience', 'new languages', 'fast learner', 'custom services.', 'adobe analytics', 'new ideas', 'fast-paced environment', 'best products.', 'data-driven experiences', 'web properties', 'sole purpose', 'outcome teams', 'highest quality', 'solve problems', 'scrum masters', 'production so teams', 'great ideas', 'visual designers', 'content managers', 'technology choices', 'product owners', 'multidisciplinary experts', 'stack developers', 'minimum qualifications', 'inclusive culture', 'execution sequence', 'embrace diversity', 'healthy snacks', 'babel', 'range', 'components', 'job', 'technologies', 'things', 'people', 'react', 'ux', 'custodian', 'redux', 'strategists', 'reviews', 'applications', 'functions.', 'security', 'webpack', 'libraries', 'hosts', 'node.js', 'pages', 'ensighten.', 'craft', 'models', 'share', 'company', 'matters', 'life', 'team.', 'telus.com']","['Agile software development', 'Best practice', 'Fair Employment Practices Commission']",[],"['team', 'team', 'passion', 'team', 'team', 'team', 'team', 'team', 'team', 'passion', 'team', 'team', 'team', 'team']",[]
4,Data Engineer,eBay Inc.,"['ebay inc.', 'brightest engineering talent', 'day. software engineers', 'complex technical problems', 'performance vs complexity', 'tools quick learner', 'great communication skills', 'speed vs complexity', 'modern programming languages.', 'law poster eeo', 'largest e-commerce website', 'solid practical experience', 'large data volumes', 'business requirements bonus', 'planning engineering efforts', 'website uses cookies', 'incompatible assistive technology', 'equal opportunity employer.', 'privacy policy view', 'law poster supplement', 'thinker ebay', 'nosql tools', 'programming skills', 'new tools', 'cross-functional teams', 'new platforms', 'technical talent', 'high-quality products', 'spark / hadoop', 'complex problems', 'innovative solutions', 'new experiences', 'network programming', 'b2c selling', 'extensibility vs', 'product development', 'high-quality software.', 'data engineer', 'massive scale.', 'production issues.', 'global commerce', 'team player', 'core participant', 'agile environment', 'good understanding', 'scale few companies', 'alternative solutions', 'keen desire', 'ansible / chef', 'highest levels', 'large system design', 'disability assistance', 'flat-structured environment', 'skin crawl.', 'automation frameworks', 'inclusive workplace', 'data stores', 'file system comfort', 'creative thinking', 'linux terminal', 'sexual orientation', 'salt understanding', 'protected status.', 'veteran status', 'gender identity', 'national origin', 'millions', 'people', 'world', 'company', 'systems', 'job', 'self-direction', 'terabytes', 'trade-offs', 'postgres', 'scala', 'reviews', 'future', 'share', 'purpose', 'community', 'way', 'world.', 'lives', 'globe.', 'commerce.', 'services', 'scalability.', 'industry.', 'role', 'organizations', 'others.', 'changes', 'expertise', 'java', 'apps', 'ideas', 'points', 'dynamodb']","['Programming language', 'Problem solving', 'EBay', 'Egalitarianism']","['structured', 'programming', 'programming', 'algorithms', 'programming']","['passion', 'team', 'creative', 'team', 'creative', 'team']","['spark', 'hadoop', 'kafka', 'java', 'scala', 'python']"
5,Data Engineer,DMTI Spatial,"['optimizing data flow', 'passionate data wrangler', 'savvy data engineer', 'data engineering projects', 'data pipeline architecture', 'data initiatives. responsibilities', 'experience strong gis', 'contract     job summary', 'college experience experience', 'data products', 'production related tasks', 'cross functional teams.', 'digital map production', 'quality control responsibility', 'contract job location', 'possesses strong commitment', 'skills education degree', 'timely written reports', 'quality control measures', 'asset job type', 'new source types', 'oral communication skills', 'multi-tasking abilities ability', 'professional microsoft office', 'tools preferred qualifications', 'data systems', 'data architecture', 'data needs', 'reference data', 'data conversion', 'data sources', 'gis activities', 'software products', 'right candidate', 'contract basis.', 'projects other duties', 'ideal candidate', 'management team', 'functionality experience', 'technical expertise', 'analytics experts', 'agile tasks', 'multiple teams', 'production methodologies', 're-designing our company', 'post-secondary university', 'project status', 'technical assistance', 'team player', 'life cycle', 'software assist', 'new methods', 'end product', 'strict deadlines', 'problem-solving ability', 'database compilation', 'organizational skills', 'relational databases', 'workflow documents', 'new algorithms', 'fundamental processes', 'dmti', 'mapinfo', 'arcgis', 'flair', 'reviews', 'collection', 'building', 'ground', 'markham', 'generation', 'parts', 'development', 'evaluation', 'maintenance', 'language', 'server', 'knowledge']","['MapInfo', 'Quality control', 'SQL', 'Data management', 'Management', 'Geographic information system', 'Responsibility', 'Quality assurance', 'Digital geologic mapping', 'Project management', 'Cartography', 'Individual responsibility', 'ESRI', 'The A-Team', 'Social responsibility', 'Contract', 'Microsoft Office', 'Project', 'Microsoft']","['database', 'algorithms']","['team', 'team', 'interpersonal', 'team']",[]
6,Data Engineer,Chefs Plate,"['data pipeline infrastructure', 'uniquely talented data', 'optimizing data flow', 'innovative data solutions', 'data collection', 'experience  experience building', 'business challenges.  requirements', 'online food brand', 'forecasting  support business', 'cutting-edge ml workloads.', 'experience  creative problem', 'communication skills  experience', 'ad hoc analysis', 'typical e-commerce metrics', 'looker  strong passion', 'intellectually demanding roles', 'cutting edge technology', 'great national exposure', 'data analysis', 'data practice', 'data function', 'collect data', 'data products', 'weekly chefs', 'business environment', 'ideal candidate', 'multiple areas', 'best practises', 'exceptional food', 'main areas', 'technology team.', 'successful candidate', 'software engineering', 'functional areas', 'typical use cases', 'traditional bi/analysis', 'intense passion', 'scientific approach', 'amazing people', 'customer segmentation', 'engineering team', 'bi/analytics solutions', 'strategy  familiarity', 'practical aspect', 'machine learning', 'relevant sources', 'aws ecosystem', 'software solutions', 'marketing intelligence', 'e-commerce companies', 'hyper growth', 'responsibilities  research', 'ideal  understanding', 'productive working', 'beneficial   benefits', 'competitive compensation', 'collaboratively  ability', 'quantitative discipline', 'state-of-the-art tools', 'team atmosphere', 'plate', 'hyper-growth', 'way', 'opportunity', 'kpis', 'tableau', 'pipelining', 'deadlines', 'reviews', 'eat.', 'customers', 'canada.', 'business.', 'background', 'awareness', 'important.', 'storage', 'scale', 'priorities', 'problems', 'degree', 'engineering/science', 'statistics', 'math', 'things', 'startup', 'canada', 'job', 'solver', 'scratch', 'schema']","['Ad hoc', 'Problem solving', 'Engineering', 'Scientific method', 'Machine learning', 'State of the art', 'Electronic commerce', 'Data analysis', 'The Opportunity', 'Data']","['machine learning', 'algorithms', 'statistics', 'machine learning']","['team', 'passion', 'team', 'team', 'creative', 'passion']",['tableau']
7,Data Engineer (Multiple Roles),Scotiabank,"['data analytics team', 'data engineer role', 'enterprise data management', 'data ecosystem tools', 'large data sets', 'various data formats', 'data flow captures', 'hands-on practical projects', 'different business lines', 'competitive benefits program', 'adhoc analysis. manage', 'annual performance incentives', 'e.g. unstructured logs', 'education programs.  responsibilities', 'digital channels.  requirements', 'solid sql skills', 'relevant stem discipline', 'technical expertise', 'data model', 'data features', 'transaction data', 'analytics techniques', 'design experience', 'recruitment experience', 'business opportunities.', 'compliance team', 'business strategies', 'business policies', 'scotiabank', 'compensation program', 'nosql databases', 'performance thresholds', 'requisition id', 'code management', 'global community', 'software release', 'better time', 'qlikview  location', 'production environments.', 'programming skills', 'new knowledge', 'risk management', 'unique skills', 'knowledge transfer', 'development staff', 'competitive salary', 'code deployment.', 'unix tools', 'global team', 'beeper/mobile phone', 'international bank', 'good understanding', 'common machine', 'technology teams', 'university degree', 'electrical/computer/software engineering', 'statistical analysis', 'flat files', 'proper documentation', 'systems analysis', 'subject matter', 'application deployment', 'ongoing training', 'common usage', 'visualization tools', 'relational databases', 'selection process', 'customer interaction', 'sql server', 'accessible environment', 'canada', 'tableau', 'json', 'python', 'spark', 'clickstream', 'curiosity', 'cassandra', 'join', 'testing', 'reviews', 'scotiabankers', 'customers', 'overview', 'individuals', 'opportunity', 'resources', 'books', 'conferences', 'experts', 'compliance.', 'hive', 'codes', 'advice', 'aspects', 'times', 'support']","['Data', 'Data management', 'Business intelligence', 'Data analysis', 'Knowledge', 'Learning', 'SQL', 'Statistics', 'NoSQL', 'Structured storage', 'Data visualization']","['visualization', 'unstructured', 'big data', 'machine learning', 'machine learning', 'programming']","['team', 'team', 'team', 'speaking']","['python', 'tableau', 'hive', 'pig', 'python']"
8,Data Engineer,Quanfury,"['toronto based fintech', 'cutting-edge ai technologies', 'building big data', 'excellent work environment.', 'innovative trading strategies.', 'future market behaviors.', 'ph.d. university degree', 'time successful candidates', 'keras job summary', 'machine learning methods', 'opportunity employer. job', 'infrastructure expert knowledge', 'real time advance', 'full-time required education', 'data structure', 'a-series funding', 'interested candidates', 'data-driven approach', 'opportunity work', 'data stream', 'ai team.', 'unique opportunity', 'job requirements', 'fast paced', 'retail trading', 'new technologies', 'new methods', 'building pipeline', 'competitive salary', 'position goal', 'dynamic environment', 'creative problem', 'ml library', 'programming skills', 'legal authorization', 'startup hub.', 'cover letter', 'full-time basis', 'transit scores', 'shell scripting', 'scala', 'quantfury', 'hadoop', 'processing', 'aws', 'kafka', 'suitability', 'azure', 'doctorate', 'spark', 'company', 'millions.', 'masters', 'mathematics', 'science', 'statistics', 'issues', 'love', 'understanding', 'languages', 'linux', 'tensorflow', 'pytorch', 'sklearn', 'mllib', 'office', 'queen', 'spadina', 'heart', 'resume', 'experience', 'position.']","['Problem solving', 'Learning', 'Creative problem solving', 'Machine learning', 'Academic degree', 'Artificial intelligence', 'Computer science', 'Employment', 'Knowledge', 'Equal opportunity', 'The Opportunity', 'Computer', 'Data', 'Doctorate', 'Creative Problem Solving Process', 'Problem']","['statistics', 'machine learning', 'machine learning', 'big data', 'big data', 'programming']","['team', 'proactive', 'creative']","['python', 'hadoop', 'spark']"
9,Data Engineer,StackAdapt,"['native advertising platform', 'development process experience', 'data warehouse technologies', 'digital advertising platform.', 'meets cutting-edge user', 'digital advertising platform', 'fastest growing companies', 'native advertising space', 'spark strong programming', 'quarterly team events', 'ad optimization models.', 'job scheduling libraries', 'awesome parental leave', 'personal development initiatives', 'campaign optimization. job', 'ft. outdoor patio', 'progressive work', 'aerospike experience', 'data team', 'technology experience', 'hive experience', 'strong experience', 'data scientists', 'particular experience', 'data engineers', 'data sets', 'data engineer', 'stackadapt stackadapt', 'full-time experience', 'data engineering', 'etl / machine', 'nosql databases', 'machine learning', 'customer engagement', 'state-of-the-art platform', 'customer satisfaction', 'amazon redshift', 'complex problems', 'north america.', 'obstacle courses', 'bonus structure', 'mid-size teams', 'plus understanding', 'dsp category', 'employment coverage', 'social events', 'competitive salary', 'lunch credit', 'bubble soccer', 'video advertisements.', 'customer acquisition', 'indoor skydiving', 'weekly friday', 'escape rooms', 'data-intelligence capabilities', 'algorithms stackadapters', 'relevant audiences', 'boat cruises', 'pipelines', 'deloitte', 'brands', 'cto', 'shortage', 'aws', 'airflow', 'ranking', 'crowd', 'applicants', 'acquisition.', 'experience.', 'performance', 'director', 'access', 'skills', 'hbase', 'benefits', 'league', 'support', 'conferences']","['Machine learning', 'Learning', 'Advertising', 'Artificial intelligence', 'Algorithm', 'Knowledge', 'Software development process', 'Data management', 'Computer vision', 'Problem solving', 'Deloitte', 'Parental leave', 'NoSQL', 'Data warehouse', 'Extract, transform, load', 'Structured storage']","['machine learning', 'machine learning', 'machine learning', 'programming', 'machine learning', 'algorithms']","['team', 'team', 'team']","['scala', 'python']"
